10 Years-100% Stocks (a)-0.1 (a),1
10 Years-100% Stocks (a)-0.5 (a),1
10 Years-100% Stocks (a)-1 (a),1
10 Years-100% Stocks (a)-1.5 (a),1
10 Years-100% Stocks (a)-2 (a),1
10 Years-75% Stocks (a)-0.1 (a),1
10 Years-75% Stocks (a)-0.5 (a),1
10 Years-75% Stocks (a)-1 (a),1
10 Years-75% Stocks (a)-1.5 (a),1
10 Years-75% Stocks (a)-2 (a),1
10 Years-50% Stocks (a)-0.1 (a),1
10 Years-50% Stocks (a)-0.5 (a),1
10 Years-50% Stocks (a)-1 (a),1
10 Years-50% Stocks (a)-1.5 (a),1
10 Years-50% Stocks (a)-2 (a),1
10 Years-25% Stocks (a)-0.1 (a),1
10 Years-25% Stocks (a)-0.5 (a),1
10 Years-25% Stocks (a)-1 (a),1
10 Years-25% Stocks (a)-1.5 (a),1
10 Years-25% Stocks (a)-2 (a),1
10 Years-100% Bonds (a)-0.1 (a).b,1
10 Years-100% Bonds (a)-0.5 (a).b,1
10 Years-100% Bonds (a)-1 (a).b,1
10 Years-100% Bonds (a)-1.5 (a).b,1
10 Years-100% Bonds (a)-2 (a).b,1
20 Years-100% Stocks (f)-0.1 (f),1
20 Years-100% Stocks (f)-0.5 (f),1
20 Years-100% Stocks (f)-1 (f),1
20 Years-100% Stocks (f)-1.5 (f),1
20 Years-100% Stocks (f)-2 (f),1
20 Years-75% Stocks (f)-0.1 (f),1
20 Years-75% Stocks (f)-0.5 (f),1
20 Years-75% Stocks (f)-1 (f),1
20 Years-75% Stocks (f)-1.5 (f),1
20 Years-75% Stocks (f)-2 (f),1
20 Years-50% Stocks (f)-0.1 (f),1
20 Years-50% Stocks (f)-0.5 (f),1
20 Years-50% Stocks (f)-1 (f),1
20 Years-50% Stocks (f)-1.5 (f),1
20 Years-50% Stocks (f)-2 (f),1
20 Years-25% Stocks (f)-0.1 (f),1
20 Years-25% Stocks (f)-0.5 (f),1
20 Years-25% Stocks (f)-1 (f),1
20 Years-25% Stocks (f)-1.5 (f),1
20 Years-25% Stocks (f)-2 (f),1
20 Years-100% Bonds (f)-0.1 (f).b,1
20 Years-100% Bonds (f)-0.5 (f).b,1
20 Years-100% Bonds (f)-1 (f).b,1
20 Years-100% Bonds (f)-1.5 (f).b,1
20 Years-100% Bonds (f)-2 (f).b,1
30 Years-100% Stocks (d)-0.1 (d),1
30 Years-100% Stocks (d)-0.5 (d),1
30 Years-100% Stocks (d)-1 (d),1
30 Years-100% Stocks (d)-1.5 (d),1
30 Years-100% Stocks (d)-2 (d),1
30 Years-75% Stocks (d)-0.1 (d),1
30 Years-75% Stocks (d)-0.5 (d),1
30 Years-75% Stocks (d)-1 (d),1
30 Years-75% Stocks (d)-1.5 (d),1
30 Years-75% Stocks (d)-2 (d),1
30 Years-50% Stocks (d)-0.1 (d),1
30 Years-50% Stocks (d)-0.5 (d),1
30 Years-50% Stocks (d)-1 (d),1
30 Years-50% Stocks (d)-1.5 (d),1
30 Years-50% Stocks (d)-2 (d),1
30 Years-25% Stocks (d)-0.1 (d),1
30 Years-25% Stocks (d)-0.5 (d),1
30 Years-25% Stocks (d)-1 (d),1
30 Years-25% Stocks (d)-1.5 (d),1
30 Years-25% Stocks (d)-2 (d),1
30 Years-100% Bonds (d)-0.1 (d).b,1
30 Years-100% Bonds (d)-0.5 (d).b,1
30 Years-100% Bonds (d)-1 (d).b,1
30 Years-100% Bonds (d)-1.5 (d).b,1
30 Years-100% Bonds (d)-2 (d).b,1
